Date,Open,High,Low,Close,Adj Close,Volume
1997-04-25,3565.270020,3565.520020,3557.709961,3563.510010,3563.510010,0
1997-04-28,3565.669922,3565.669922,3554.209961,3556.500000,3556.500000,0
1997-04-29,3555.060059,3560.790039,3555.060059,3560.409912,3560.409912,0
1997-04-30,3567.219971,3569.889893,3553.800049,3560.860107,3560.860107,0
1997-05-01,null,null,null,null,null,null
1997-05-02,3575.530029,3580.060059,3573.020020,3579.370117,3579.370117,0
1997-05-05,3593.889893,3605.350098,3593.629883,3601.929932,3601.929932,0
1997-05-06,3614.570068,3615.280029,3601.909912,3605.540039,3605.540039,0
1997-05-07,3623.050049,3627.030029,3619.260010,3625.840088,3625.840088,0
1997-05-08,null,null,null,null,null,null
1997-05-09,3639.080078,3640.239990,3627.699951,3630.310059,3630.310059,0
1997-05-12,3640.989990,3651.439941,3637.939941,3650.350098,3650.350098,0
1997-05-13,3654.929932,3665.209961,3654.929932,3660.239990,3660.239990,0
1997-05-14,3674.330078,3682.530029,3674.000000,3678.239990,3678.239990,0
1997-05-15,3684.639893,3695.949951,3681.939941,3694.389893,3694.389893,0
1997-05-16,3714.010010,3720.699951,3711.790039,3715.409912,3715.409912,0
1997-05-19,null,null,null,null,null,null
1997-05-20,3707.810059,3713.530029,3701.889893,3706.659912,3706.659912,0
1997-05-21,3724.419922,3753.250000,3721.169922,3753.250000,3753.250000,0
1997-05-22,3763.760010,3769.300049,3762.409912,3765.030029,3765.030029,0
1997-05-23,3780.580078,3800.120117,3780.560059,3796.820068,3796.820068,0
1997-05-26,3800.590088,3801.750000,3783.040039,3791.280029,3791.280029,0
1997-05-27,3805.870117,3810.310059,3796.320068,3800.120117,3800.120117,0
1997-05-28,3821.489990,3823.590088,3812.360107,3819.330078,3819.330078,0
1997-05-29,3819.300049,3819.300049,3819.300049,3819.300049,3819.300049,0
1997-05-30,3798.300049,3798.610107,3762.489990,3768.709961,3768.709961,0
1997-06-02,3773.739990,3783.790039,3771.290039,3782.439941,3782.439941,0
1997-06-03,3787.010010,3790.000000,3781.600098,3789.159912,3789.159912,0
1997-06-04,3805.959961,3821.669922,3805.000000,3821.669922,3821.669922,0
1997-06-05,3841.459961,3862.919922,3841.459961,3845.199951,3845.199951,0
1997-06-06,3852.689941,3866.949951,3850.110107,3858.439941,3858.439941,0
1997-06-09,3873.969971,3875.350098,3856.899902,3860.969971,3860.969971,0
1997-06-10,3867.800049,3872.530029,3865.419922,3869.929932,3869.929932,0
